time (days since 1610-01-01),wavelength (nm),irradiance (W/m^2/nm)
151757.0,545.5,1.9320942163467407
151757.0,546.5,1.913094162940979
151757.0,547.5,1.865319848060608
151757.0,548.5,1.8984599113464355
151757.0,549.5,1.9166591167449951
151757.0,550.5,1.9001675844192505
151757.0,551.5,1.8909709453582764
151757.0,552.5,1.8946874141693115
151757.0,553.5,1.8928515911102295
151757.0,554.5,1.9131561517715454
151757.0,555.5,1.9230841398239136
151757.0,556.5,1.8783165216445923
151757.0,557.5,1.8483083248138428
151757.0,558.5,1.8341915607452393
151757.0,559.5,1.8064537048339844
151757.0,560.5,1.8431824445724487
151757.0,561.5,1.8539998531341553
151757.0,562.5,1.8467111587524414
151757.0,563.5,1.8722896575927734
151757.0,564.5,1.8779258728027344
151757.0,565.5,1.8443869352340698
151757.0,566.5,1.8050183057785034
151757.0,567.5,1.897099256515503
151757.0,568.5,1.8144956827163696
151757.0,569.5,1.8758206367492676
151757.0,570.5,1.818762183189392
151757.0,571.5,1.7898387908935547
151757.0,572.5,1.9039133787155151
151757.0,573.5,1.8915410041809082
151757.0,574.5,1.8794993162155151
151757.0,575.5,1.8446816205978394
151757.0,576.5,1.8560858964920044
151757.0,577.5,1.8725110292434692
151757.0,578.5,1.7903627157211304
151757.0,579.5,1.8359341621398926
151757.0,580.5,1.8535100221633911
151757.0,581.5,1.8421915769577026
151757.0,582.5,1.8728669881820679
151757.0,583.5,1.8592387437820435
151757.0,584.5,1.8573888540267944
151757.0,585.5,1.7978873252868652
151757.0,586.5,1.813847541809082
151757.0,587.5,1.8520907163619995
151757.0,588.5,1.8300838470458984
151757.0,589.5,1.5643508434295654
151757.0,590.5,1.8182145357131958
151757.0,591.5,1.8067632913589478
151757.0,592.5,1.8315553665161133
151757.0,593.5,1.7960139513015747
151757.0,594.5,1.8261035680770874
151757.0,595.5,1.7752705812454224
151757.0,596.5,1.8176040649414062
151757.0,597.5,1.8019744157791138
151757.0,598.5,1.7688868045806885
151757.0,599.5,1.7888113260269165
151757.0,600.5,1.7703152894973755
151757.0,601.5,1.7498749494552612
151757.0,602.5,1.725864291191101
151757.0,603.5,1.7946499586105347
151757.0,604.5,1.7821483612060547
151757.0,605.5,1.768154263496399
151757.0,606.5,1.762351393699646
151757.0,607.5,1.7844116687774658
151757.0,608.5,1.7267526388168335
151757.0,609.5,1.736938238143921
151757.0,610.5,1.697806715965271
151757.0,611.5,1.74608314037323
151757.0,612.5,1.6996946334838867
151757.0,613.5,1.6742539405822754
151757.0,614.5,1.7065147161483765
151757.0,615.5,1.6979339122772217
151757.0,616.5,1.634244680404663
151757.0,617.5,1.6566452980041504
151757.0,618.5,1.7100199460983276
151757.0,619.5,1.6936954259872437
151757.0,620.5,1.7167303562164307
151757.0,621.5,1.691605806350708
151757.0,622.5,1.6894434690475464
151757.0,623.5,1.6564418077468872
151757.0,624.5,1.637182593345642
151757.0,625.5,1.6358428001403809
151757.0,626.5,1.6733413934707642
151757.0,627.5,1.690841794013977
151757.0,628.5,1.6776942014694214
151757.0,629.5,1.6735841035842896
151757.0,630.5,1.6484726667404175
151757.0,631.5,1.6267656087875366
151757.0,632.5,1.6485540866851807
151757.0,633.5,1.638037085533142
151757.0,634.5,1.6326463222503662
151757.0,635.5,1.6605381965637207
151757.0,636.5,1.6117799282073975
151757.0,637.5,1.6589994430541992
151757.0,638.5,1.6478456258773804
151757.0,639.5,1.6325836181640625
151757.0,640.5,1.5875306129455566
151757.0,641.5,1.6042479276657104
151757.0,642.5,1.6129738092422485
151757.0,643.5,1.6150448322296143
151757.0,644.5,1.61378812789917
151757.0,645.5,1.5798721313476562
151757.0,646.5,1.599001407623291
151757.0,647.5,1.600648045539856
151757.0,648.5,1.6106034517288208
151757.0,649.5,1.5259335041046143
151757.0,650.5,1.5917835235595703
151757.0,651.5,1.6052218675613403
151757.0,652.5,1.5829998254776
151757.0,653.5,1.5931708812713623
151757.0,654.5,1.5722370147705078
151757.0,655.5,1.5246169567108154
151757.0,656.5,1.2305772304534912
151757.0,657.5,1.5058903694152832
151757.0,658.5,1.5550991296768188
151757.0,659.5,1.5345368385314941
151757.0,660.5,1.5639500617980957
151757.0,661.5,1.5623215436935425
151757.0,662.5,1.5693590641021729
151757.0,663.5,1.539132833480835
151757.0,664.5,1.545973539352417
151757.0,665.5,1.5656731128692627
151757.0,666.5,1.536539077758789
151757.0,667.5,1.535949468612671
151757.0,668.5,1.5541460514068604
151757.0,669.5,1.5440387725830078
151757.0,670.5,1.5310883522033691
151757.0,671.5,1.5072903633117676
151757.0,672.5,1.5226491689682007
151757.0,673.5,1.5300577878952026
151757.0,674.5,1.5213665962219238
151757.0,675.5,1.5067390203475952
151757.0,676.5,1.5148009061813354
151757.0,677.5,1.515465259552002
151757.0,678.5,1.5077790021896362
151757.0,679.5,1.5080311298370361
151757.0,680.5,1.5002158880233765
151757.0,681.5,1.500270962715149
151757.0,682.5,1.501016616821289
151757.0,683.5,1.490330696105957
151757.0,684.5,1.4536147117614746
151757.0,685.5,1.4728078842163086
151757.0,686.5,1.4753884077072144
151757.0,687.5,1.4869582653045654
151757.0,688.5,1.4663339853286743
151757.0,689.5,1.483899474143982
151757.0,690.5,1.4712133407592773
151757.0,691.5,1.4547990560531616
151757.0,692.5,1.4571881294250488
151757.0,693.5,1.4611961841583252
151757.0,694.5,1.4533822536468506
151757.0,695.5,1.450083613395691
151757.0,696.5,1.4525412321090698
151757.0,697.5,1.4375594854354858
151757.0,698.5,1.4240474700927734
151757.0,699.5,1.4425785541534424
151757.0,700.5,1.4003126621246338
151757.0,701.5,1.3973826169967651
151757.0,702.5,1.4079930782318115
151757.0,703.5,1.4122306108474731
151757.0,704.5,1.418182611465454
151757.0,705.5,1.4189505577087402
151757.0,706.5,1.410887598991394
151757.0,707.5,1.4084490537643433
151757.0,708.5,1.3959012031555176
151757.0,709.5,1.3920317888259888
151757.0,710.5,1.4070154428482056
151757.0,711.5,1.3867298364639282
151757.0,712.5,1.3783268928527832
151757.0,713.5,1.3769737482070923
151757.0,714.5,1.383501648902893
151757.0,715.5,1.3630096912384033
151757.0,716.5,1.3520992994308472
151757.0,717.5,1.380718469619751
151757.0,718.5,1.3366302251815796
151757.0,719.5,1.3431808948516846
151757.0,720.5,1.3361560106277466
151757.0,721.5,1.3558223247528076
151757.0,722.5,1.3335554599761963
151757.0,723.5,1.3526984453201294
151757.0,724.5,1.3485679626464844
151757.0,725.5,1.3426810503005981
151757.0,726.5,1.3374797105789185
151757.0,727.5,1.3453257083892822
151757.0,728.5,1.3213988542556763
151757.0,729.5,1.293984293937683
151757.0,730.5,1.3296754360198975
151757.0,731.5,1.3196277618408203
151757.0,732.5,1.3104974031448364
151757.0,733.5,1.3236122131347656
151757.0,734.5,1.3267948627471924
151757.0,735.5,1.299970030784607
151757.0,736.5,1.3066908121109009
151757.0,737.5,1.309199333190918
151757.0,738.5,1.2839698791503906
151757.0,739.5,1.2811294794082642
151757.0,740.5,1.2860605716705322
151757.0,741.5,1.2499381303787231
151757.0,742.5,1.2687121629714966
151757.0,743.5,1.2936567068099976
151757.0,744.5,1.2628040313720703
151757.0,745.5,1.2929514646530151
151757.0,746.5,1.275986909866333
151757.0,747.5,1.2827459573745728
151757.0,748.5,1.2802776098251343
151757.0,749.5,1.2522273063659668
151757.0,752.5,1.2600271701812744
