datetime,X
2015-03-17 05:05:00+00:00,20590.5
2015-03-17 05:06:00+00:00,20591.7
2015-03-17 05:07:00+00:00,20593.9
2015-03-17 05:08:00+00:00,20594.2
2015-03-17 05:09:00+00:00,20594.6
2015-03-17 05:10:00+00:00,20594.3
2015-03-17 05:11:00+00:00,20594.3
2015-03-17 05:12:00+00:00,20595.0
2015-03-17 05:13:00+00:00,20595.7
2015-03-17 05:14:00+00:00,20595.9
2015-03-17 05:15:00+00:00,20594.6
2015-03-17 05:16:00+00:00,20592.3
2015-03-17 05:17:00+00:00,20591.7
2015-03-17 05:18:00+00:00,20591.4
2015-03-17 05:19:00+00:00,20590.6
2015-03-17 05:20:00+00:00,20591.6
2015-03-17 05:21:00+00:00,20594.1
2015-03-17 05:22:00+00:00,20588.4
2015-03-17 05:23:00+00:00,20585.1
2015-03-17 05:24:00+00:00,20581.8
2015-03-17 05:25:00+00:00,20582.2
2015-03-17 05:26:00+00:00,20583.8
2015-03-17 05:27:00+00:00,20583.7
2015-03-17 05:28:00+00:00,20584.2
2015-03-17 05:29:00+00:00,20585.9
2015-03-17 05:30:00+00:00,20584.9
2015-03-17 05:31:00+00:00,20583.9
2015-03-17 05:32:00+00:00,20584.4
2015-03-17 05:33:00+00:00,20584.5
2015-03-17 05:34:00+00:00,20584.7
2015-03-17 05:35:00+00:00,20584.3
2015-03-17 05:36:00+00:00,20586.7
2015-03-17 05:37:00+00:00,20587.9
2015-03-17 05:38:00+00:00,20588.1
2015-03-17 05:39:00+00:00,20588.9
2015-03-17 05:40:00+00:00,20586.4
2015-03-17 05:41:00+00:00,20583.0
2015-03-17 05:42:00+00:00,20581.2
2015-03-17 05:43:00+00:00,20584.7
2015-03-17 05:44:00+00:00,20589.3
2015-03-17 05:45:00+00:00,20590.9
2015-03-17 05:46:00+00:00,20589.4
2015-03-17 05:47:00+00:00,20589.5
2015-03-17 05:48:00+00:00,20593.0
2015-03-17 05:49:00+00:00,20592.3
2015-03-17 05:50:00+00:00,20593.0
2015-03-17 05:51:00+00:00,20594.7
2015-03-17 05:52:00+00:00,20597.3
2015-03-17 05:53:00+00:00,20594.2
2015-03-17 05:54:00+00:00,20588.0
2015-03-17 05:55:00+00:00,20585.4
2015-03-17 05:56:00+00:00,20582.7
2015-03-17 05:57:00+00:00,20579.4
2015-03-17 05:58:00+00:00,20579.7
2015-03-17 05:59:00+00:00,20583.7
2015-03-17 06:00:00+00:00,20586.3
2015-03-17 06:01:00+00:00,20584.4
2015-03-17 06:02:00+00:00,20580.3
2015-03-17 06:03:00+00:00,20580.4
2015-03-17 06:04:00+00:00,20581.0
2015-03-17 06:05:00+00:00,20582.5
2015-03-17 06:06:00+00:00,20583.3
2015-03-17 06:07:00+00:00,20584.5
2015-03-17 06:08:00+00:00,20585.4
2015-03-17 06:09:00+00:00,20586.4
2015-03-17 06:10:00+00:00,20588.0
2015-03-17 06:11:00+00:00,20586.7
2015-03-17 06:12:00+00:00,20586.4
2015-03-17 06:13:00+00:00,20588.3
2015-03-17 06:14:00+00:00,20590.5
2015-03-17 06:15:00+00:00,20590.0
2015-03-17 06:16:00+00:00,20591.2
2015-03-17 06:17:00+00:00,20597.8
2015-03-17 06:18:00+00:00,20601.0
2015-03-17 06:19:00+00:00,20604.5
2015-03-17 06:20:00+00:00,20604.2
2015-03-17 06:21:00+00:00,20604.6
2015-03-17 06:22:00+00:00,20607.2
2015-03-17 06:23:00+00:00,20607.7
2015-03-17 06:24:00+00:00,20606.6
2015-03-17 06:25:00+00:00,20605.8
2015-03-17 06:26:00+00:00,20604.3
2015-03-17 06:27:00+00:00,20603.2
2015-03-17 06:28:00+00:00,20601.4
2015-03-17 06:29:00+00:00,20599.7
2015-03-17 06:30:00+00:00,20598.3
2015-03-17 06:31:00+00:00,20596.1
2015-03-17 06:32:00+00:00,20594.7
2015-03-17 06:33:00+00:00,20595.0
2015-03-17 06:34:00+00:00,20592.0
2015-03-17 06:35:00+00:00,20588.0
2015-03-17 06:36:00+00:00,20583.6
